loanID,score
10000,0.002947
10001,0.007023
10002,0.004537
10003,0.004474
10004,0.010737
10005,0.005683
10006,0.037829
10007,0.00452
10008,0.009983
10009,0.008386
10010,0.006898
10011,0.009436
10012,0.00523
10013,0.003545
10014,0.003387
10015,0.011309
10016,0.003091
10017,0.00956
10018,0.002548
10019,0.005155
10020,0.016096
10021,0.005841
10022,0.003501
10023,0.005122
10024,0.006648
10025,0.007405
10026,0.007251
10027,0.006668
10028,0.008989
10029,0.007626
10030,0.012701
10031,0.003484
10032,0.001129
10033,0.009897
10034,0.006975
10035,0.02642
10036,0.003149
10037,0.009927
10038,0.002149
10039,0.00455
10040,0.013598
10041,0.002454
10042,0.00651
10043,0.003565
10044,0.004518
10045,0.095499
10046,0.038023
10047,0.00878
10048,0.012348
10049,0.019785
10050,0.00839
10051,0.007297
10052,0.011906
10053,0.003634
10054,0.016836
10055,0.035577
10056,0.001519
10057,0.053635
10058,0.004305
10059,0.00684
10060,0.010343
10061,0.014656
10062,0.010973
10063,0.004425
10064,0.021702
10065,0.021057
10066,0.020373
10067,0.019718
10068,0.012199
10069,0.002247
10070,0.005906
10071,0.018128
10072,0.007421
10073,0.031178
10074,0.019014
10075,0.004538
10076,0.004212
10077,0.008287
10078,0.008343
10079,0.012711
10080,0.008323
10081,0.016371
10082,0.008339
10083,0.002842
10084,0.007516
10085,0.012298
10086,0.003368
10087,0.012171
10088,0.007939
10089,0.004414
10090,0.033839
10091,0.009079
10092,0.00663
10093,0.004797
10094,0.005312
10095,0.010675
10096,0.008025
10097,0.008821
10098,0.004646
10099,0.009313
10100,0.010556
10101,0.022332
10102,0.008395
10103,0.004674
10104,0.007263
10105,0.003057
10106,0.033739
10107,0.009062
10108,0.005796
10109,0.004692
10110,0.004647
10111,0.003782
10112,0.010682
10113,0.017095
10114,0.006378
10115,0.006155
10116,0.007185
10117,0.009307
10118,0.003539
10119,0.003813
10120,0.00519
10121,0.014089
10122,0.002782
10123,0.010896
10124,0.010351
10125,0.006579
10126,0.014599
10127,0.005063
10128,0.019757
10129,0.077961
10130,0.006411
10131,0.002401
10132,0.002237
10133,0.025397
10134,0.03526
10135,0.092723
10136,0.009409
10137,0.004403
10138,0.031404
10139,0.004895
10140,0.003888
10141,0.003884
10142,0.001561
10143,0.006343
10144,0.006193
10145,0.00672
10146,0.006977
10147,0.020657
10148,0.004266
10149,0.011117
10150,0.008844
10151,0.005064
10152,0.006328
10153,0.006356
10154,0.006137
10155,0.026875
10156,0.00397
10157,0.008376
10158,0.016879
10159,0.003994
10160,0.006071
10161,0.014991
10162,0.003606
10163,0.009847
10164,0.011613
10165,0.003118
10166,0.017558
10167,0.00611
10168,0.016053
10169,0.00741
10170,0.013596
10171,0.01006
10172,0.004701
10173,0.006765
10174,0.006245
10175,0.018607
10176,0.002887
10177,0.016104
10178,0.012565
10179,0.051288
10180,0.003348
10181,0.005617
10182,0.012644
10183,0.004777
10184,0.004817
10185,0.007218
10186,0.019134
10187,0.003273
10188,0.004584
10189,0.004627
10190,0.060744
10191,0.00644
10192,0.035732
10193,0.005912
10194,0.005271
10195,0.004235
10196,0.002367
10197,0.002829
10198,0.040852
10199,0.006591
10200,0.003786
10201,0.008816
10202,0.004838
10203,0.004892
10204,0.003018
10205,0.005606
10206,0.019558
10207,0.010467
10208,0.003135
10209,0.003542
10210,0.005832
10211,0.008403
10212,0.01294
10213,0.006021
10214,0.006729
10215,0.004623
10216,0.014192
10217,0.022521
10218,0.003493
10219,0.006382
10220,0.004925
10221,0.004657
10222,0.014947
10223,0.016938
10224,0.013058
10225,0.009301
10226,0.004702
10227,0.005121
10228,0.004384
10229,0.023029
10230,0.003825
10231,0.009863
10232,0.003552
10233,0.012741
10234,0.004713
10235,0.00816
10236,0.007878
10237,0.002636
10238,0.004651
10239,0.024814
10240,0.008711
10241,0.005145
10242,0.00248
10243,0.003638
10244,0.002117
10245,0.005649
10246,0.00536
10247,0.004541
10248,0.115977
10249,0.013252
10250,0.021869
10251,0.026875
10252,0.004617
10253,0.005388
10254,0.004521
10255,0.025827
10256,0.017242
10257,0.002759
10258,0.008763
10259,0.006301
10260,0.015156
10261,0.00415
10262,0.003184
10263,0.004004
10264,0.004949
10265,0.012912
10266,0.018087
10267,0.005866
10268,0.005606
10269,0.002182
10270,0.004246
10271,0.009447
10272,0.00543
10273,0.003443
10274,0.126902
10275,0.007194
10276,0.004769
10277,0.016835
10278,0.012436
10279,0.014485
10280,0.007002
10281,0.002982
10282,0.01293
10283,0.007192
10284,0.003434
10285,0.005411
