loanID,score
10000,0.195886
10001,0.199436
10002,0.192417
10003,0.1923
10004,0.237024
10005,0.197771
10006,0.191604
10007,0.191604
10008,0.195784
10009,0.217542
10010,0.191782
10011,0.192701
10012,0.193487
10013,0.192701
10014,0.196089
10015,0.194599
10016,0.192123
10017,0.240257
10018,0.217073
10019,0.218754
10020,0.192701
10021,0.192123
10022,0.191601
10023,0.191601
10024,0.193487
10025,0.191604
10026,0.212316
10027,0.196683
10028,0.192701
10029,0.216135
10030,0.199043
10031,0.193341
10032,0.19494
10033,0.193341
10034,0.200064
10035,0.226726
10036,0.191465
10037,0.198342
10038,0.191604
10039,0.193522
10040,0.217422
10041,0.1923
10042,0.209962
10043,0.191604
10044,0.193341
10045,0.191855
10046,0.214833
10047,0.215874
10048,0.200064
10049,0.194013
10050,0.192957
10051,0.198967
10052,0.193665
10053,0.226653
10054,0.197816
10055,0.224742
10056,0.194596
10057,0.191604
10058,0.194164
10059,0.19349
10060,0.208633
10061,0.191782
10062,0.25305
10063,0.192701
10064,0.195125
10065,0.193341
10066,0.208652
10067,0.198967
10068,0.221335
10069,0.194746
10070,0.191604
10071,0.196324
10072,0.216648
10073,0.255413
10074,0.196683
10075,0.194746
10076,0.194963
10077,0.198967
10078,0.199752
10079,0.200406
10080,0.239567
10081,0.23931
10082,0.198967
10083,0.19388
10084,0.1923
10085,0.214639
10086,0.191601
10087,0.200611
10088,0.195365
10089,0.197771
10090,0.191601
10091,0.217109
10092,0.196683
10093,0.191601
10094,0.193341
10095,0.19741
10096,0.192417
10097,0.248061
10098,0.20775
10099,0.196683
10100,0.191604
10101,0.198568
10102,0.197771
10103,0.214833
10104,0.197771
10105,0.191604
10106,0.222165
10107,0.19242
10108,0.192417
10109,0.195886
10110,0.197816
10111,0.193487
10112,0.192417
10113,0.237189
10114,0.193341
10115,0.19683
10116,0.196683
10117,0.20775
10118,0.1923
10119,0.191604
10120,0.19242
10121,0.198967
10122,0.193341
10123,0.19242
10124,0.193341
10125,0.195008
10126,0.212513
10127,0.195566
10128,0.193341
10129,0.192128
10130,0.191601
10131,0.191604
10132,0.192701
10133,0.209034
10134,0.191604
10135,0.215874
10136,0.204948
10137,0.191601
10138,0.192701
10139,0.193522
10140,0.193341
10141,0.193522
10142,0.201663
10143,0.209232
10144,0.197771
10145,0.195008
10146,0.193856
10147,0.210304
10148,0.218916
10149,0.192128
10150,0.193119
10151,0.19242
10152,0.196683
10153,0.195654
10154,0.194533
10155,0.20623
10156,0.193341
10157,0.190651
10158,0.202888
10159,0.196683
10160,0.193767
10161,0.19242
10162,0.197571
10163,0.199752
10164,0.212734
10165,0.21015
10166,0.223355
10167,0.193522
10168,0.196817
10169,0.198967
10170,0.210498
10171,0.192701
10172,0.198003
10173,0.195365
10174,0.191601
10175,0.193498
10176,0.196903
10177,0.230373
10178,0.256018
10179,0.209866
10180,0.217077
10181,0.19242
10182,0.222276
10183,0.196683
10184,0.195008
10185,0.228523
10186,0.193341
10187,0.193487
10188,0.196447
10189,0.192417
10190,0.247225
10191,0.193341
10192,0.270133
10193,0.196683
10194,0.201673
10195,0.232906
10196,0.200064
10197,0.258149
10198,0.192701
10199,0.246987
10200,0.196753
10201,0.200406
10202,0.191604
10203,0.19242
10204,0.19242
10205,0.196903
10206,0.196683
10207,0.212721
10208,0.19242
10209,0.193341
10210,0.199556
10211,0.192417
10212,0.191601
10213,0.198967
10214,0.192701
10215,0.19242
10216,0.219639
10217,0.20607
10218,0.194164
10219,0.192701
10220,0.19349
10221,0.195157
10222,0.198967
10223,0.250594
10224,0.193341
10225,0.192701
10226,0.209487
