loanID,score
10000,0.026689
10001,0.017859
10002,0.015479
10003,0.016372
10004,0.027255
10005,0.013201
10006,0.026647
10007,0.018322
10008,0.030116
10009,0.046703
10010,0.019235
10011,0.016703
10012,0.023178
10013,0.017965
10014,0.025952
10015,0.02129
10016,0.016114
10017,0.028519
10018,0.016075
10019,0.016206
10020,0.031882
10021,0.0155
10022,0.023085
10023,0.018119
10024,0.013101
10025,0.020783
10026,0.03863
10027,0.013843
10028,0.052418
10029,0.090017
10030,0.056115
10031,0.037058
10032,0.028984
10033,0.048574
10034,0.011078
10035,0.070345
10036,0.025522
10037,0.020623
10038,0.017192
10039,0.018065
10040,0.044944
10041,0.023577
10042,0.021547
10043,0.012196
10044,0.032774
10045,0.043194
10046,0.106939
10047,0.022496
10048,0.031977
10049,0.058573
10050,0.021455
10051,0.014938
10052,0.037463
10053,0.025221
10054,0.023586
10055,0.034956
10056,0.021697
10057,0.038277
10058,0.059702
10059,0.032689
10060,0.053863
10061,0.026376
10062,0.034746
10063,0.010158
10064,0.062918
10065,0.017494
10066,0.061212
10067,0.027193
10068,0.028077
10069,0.02154
10070,0.031342
10071,0.014947
10072,0.015208
10073,0.025718
10074,0.026989
10075,0.027638
10076,0.03209
10077,0.009969
10078,0.027819
10079,0.029985
10080,0.037533
10081,0.065906
10082,0.030102
10083,0.015016
10084,0.028704
10085,0.027876
10086,0.012134
10087,0.028876
10088,0.017871
10089,0.030941
10090,0.089182
10091,0.031993
10092,0.016843
10093,0.054374
10094,0.027372
10095,0.01695
10096,0.022995
10097,0.030409
10098,0.026768
10099,0.014926
10100,0.026818
10101,0.044522
10102,0.034037
10103,0.036197
10104,0.010339
10105,0.035737
10106,0.067179
10107,0.032589
10108,0.012757
10109,0.019937
10110,0.026491
10111,0.014593
10112,0.02745
10113,0.058405
10114,0.03105
10115,0.02653
10116,0.015564
10117,0.017293
10118,0.022302
10119,0.025452
10120,0.031617
10121,0.030743
10122,0.026364
10123,0.030828
10124,0.017189
10125,0.010017
10126,0.016804
10127,0.110888
10128,0.021256
10129,0.03067
10130,0.022284
10131,0.029333
10132,0.01628
10133,0.049122
10134,0.020581
10135,0.025204
10136,0.01047
10137,0.032261
10138,0.021182
10139,0.020855
10140,0.034976
10141,0.011363
10142,0.022834
10143,0.058
10144,0.015386
10145,0.016072
10146,0.040607
10147,0.048021
10148,0.026936
10149,0.02486
10150,0.03163
10151,0.032087
10152,0.015428
10153,0.014831
10154,0.043897
10155,0.040261
10156,0.015476
10157,0.013693
10158,0.028939
10159,0.015108
10160,0.013169
10161,0.025622
10162,0.037852
10163,0.011894
10164,0.039268
10165,0.031927
10166,0.026731
10167,0.016053
10168,0.081201
10169,0.015926
10170,0.025703
10171,0.018139
10172,0.027717
10173,0.014656
10174,0.022328
10175,0.083486
10176,0.021418
10177,0.07877
10178,0.057287
10179,0.122782
10180,0.015091
10181,0.013607
10182,0.014899
10183,0.010574
10184,0.025382
10185,0.084938
10186,0.022125
10187,0.024597
10188,0.010902
10189,0.01939
10190,0.053701
10191,0.016062
10192,0.038957
10193,0.017048
10194,0.017339
10195,0.038717
10196,0.020743
10197,0.079839
10198,0.025933
10199,0.049971
10200,0.012391
10201,0.051015
10202,0.033427
10203,0.019486
10204,0.013287
10205,0.016725
10206,0.013219
10207,0.051775
10208,0.01563
10209,0.01668
10210,0.031039
10211,0.014979
10212,0.023794
10213,0.010519
10214,0.028557
10215,0.024743
10216,0.048546
10217,0.025413
10218,0.020763
10219,0.020877
10220,0.018139
10221,0.034546
10222,0.017285
10223,0.095503
10224,0.024223
10225,0.022517
10226,0.018883
10227,0.021655
10228,0.014799
10229,0.069906
10230,0.016547
10231,0.019907
10232,0.024545
10233,0.044064
10234,0.025805
10235,0.016815
10236,0.018219
10237,0.019851
10238,0.022749
10239,0.101019
10240,0.012439
