loanID,score
10000,0.331317
10001,0.421497
10002,0.336042
10003,0.331214
10004,0.372748
10005,0.426992
10006,0.33582
10007,0.355585
10008,0.298174
10009,0.31062
10010,0.299143
10011,0.420248
10012,0.324362
10013,0.344871
10014,0.439666
10015,0.338707
10016,0.335809
10017,0.350618
10018,0.350265
10019,0.343764
10020,0.314723
10021,0.350766
10022,0.331117
10023,0.32164
10024,0.326128
10025,0.331915
10026,0.315214
10027,0.435577
10028,0.339965
10029,0.334587
10030,0.349634
10031,0.356447
10032,0.181441
10033,0.368531
10034,0.423688
10035,0.34677
10036,0.324191
10037,0.420328
10038,0.271838
10039,0.349794
10040,0.285894
10041,0.266682
10042,0.349716
10043,0.415876
10044,0.359607
10045,0.386963
10046,0.425172
10047,0.336978
10048,0.428955
10049,0.346601
10050,0.330496
10051,0.432632
10052,0.335526
10053,0.317952
10054,0.303369
10055,0.435315
10056,0.350406
10057,0.334381
10058,0.313624
10059,0.368395
10060,0.36417
10061,0.338542
10062,0.332732
10063,0.345952
10064,0.331744
10065,0.422681
10066,0.363091
10067,0.421669
10068,0.423929
10069,0.350099
10070,0.320117
10071,0.440626
10072,0.338357
10073,0.331572
10074,0.429536
10075,0.36182
10076,0.332622
10077,0.429319
10078,0.435079
10079,0.33692
10080,0.417803
10081,0.417355
10082,0.42463
10083,0.329775
10084,0.354978
10085,0.353519
10086,0.328546
10087,0.413826
10088,0.437495
10089,0.438262
10090,0.335982
10091,0.340619
10092,0.429926
10093,0.389935
10094,0.36215
10095,0.439123
10096,0.309069
10097,0.326944
10098,0.365134
10099,0.423836
10100,0.33618
10101,0.409153
10102,0.42788
10103,0.327429
10104,0.426528
10105,0.306929
10106,0.460554
10107,0.33358
10108,0.355113
10109,0.321427
10110,0.348273
10111,0.36425
10112,0.340023
10113,0.416763
10114,0.36265
10115,0.327587
10116,0.435799
10117,0.33407
10118,0.3343
10119,0.347351
10120,0.325771
10121,0.418943
10122,0.359435
10123,0.331484
10124,0.341716
10125,0.438822
10126,0.361023
10127,0.33305
10128,0.440055
10129,0.35382
10130,0.340896
10131,0.327319
10132,0.351338
10133,0.333314
10134,0.344145
10135,0.312129
10136,0.437853
10137,0.348139
10138,0.334808
10139,0.358191
10140,0.358494
10141,0.342147
10142,0.31287
10143,0.333389
10144,0.425798
10145,0.443206
10146,0.324782
10147,0.397419
10148,0.348
10149,0.33114
10150,0.365353
10151,0.332129
10152,0.430669
10153,0.445406
10154,0.36895
10155,0.372533
10156,0.363424
10157,0.320311
10158,0.362962
10159,0.422703
10160,0.351622
10161,0.336902
10162,0.348997
10163,0.428235
10164,0.325706
10165,0.354894
10166,0.372517
10167,0.344774
10168,0.356124
10169,0.422235
10170,0.374969
10171,0.295616
10172,0.355403
10173,0.422983
10174,0.323736
10175,0.343671
10176,0.318785
10177,0.420035
10178,0.415393
10179,0.358188
10180,0.335443
10181,0.349475
10182,0.424873
10183,0.426143
10184,0.4344
10185,0.432722
10186,0.354886
10187,0.363509
10188,0.432678
10189,0.330939
10190,0.334415
10191,0.359309
10192,0.43882
10193,0.431735
10194,0.428368
10195,0.301778
10196,0.436756
10197,0.356685
10198,0.340644
10199,0.327879
10200,0.418972
10201,0.32816
10202,0.337198
10203,0.330699
10204,0.332317
10205,0.355513
10206,0.426637
10207,0.327553
10208,0.333083
10209,0.326504
10210,0.339914
10211,0.368079
10212,0.316922
10213,0.421388
10214,0.316838
10215,0.324073
10216,0.38256
10217,0.417623
10218,0.334511
10219,0.331232
10220,0.331708
10221,0.447474
10222,0.432464
10223,0.326331
10224,0.445811
10225,0.341826
10226,0.33901
10227,0.424966
10228,0.413138
10229,0.381741
10230,0.430803
10231,0.323105
10232,0.426383
10233,0.328898
10234,0.397378
10235,0.327226
10236,0.328036
10237,0.345342
10238,0.444713
10239,0.345917
10240,0.437991
10241,0.357741
10242,0.240197
10243,0.297563
10244,0.342823
10245,0.31843
10246,0.342349
10247,0.376655
10248,0.351894
10249,0.42739
10250,0.316517
10251,0.372396
10252,0.341513
10253,0.424743
10254,0.320212
