loanID,score
10000,0.00349
10001,0.005427
10002,0.006063
10003,0.004978
10004,0.014618
10005,0.005798
10006,0.013675
10007,0.006046
10008,0.008527
10009,0.008562
10010,0.005593
10011,0.006738
10012,0.007572
10013,0.005259
10014,0.002881
10015,0.017384
10016,0.005814
10017,0.00766
10018,0.0036
10019,0.006362
10020,0.01139
10021,0.01246
10022,0.003868
10023,0.013817
10024,0.013452
10025,0.016499
10026,0.007202
10027,0.006378
10028,0.014549
10029,0.009246
10030,0.021691
10031,0.006288
10032,0.002273
10033,0.011379
10034,0.006609
10035,0.018104
10036,0.005688
10037,0.010556
10038,0.002153
10039,0.005401
10040,0.034393
10041,0.002985
10042,0.011957
10043,0.005853
10044,0.005557
10045,0.027183
10046,0.043125
10047,0.006317
10048,0.010597
10049,0.024509
10050,0.002741
10051,0.005607
10052,0.013296
10053,0.009712
10054,0.031448
10055,0.033443
10056,0.005901
10057,0.028516
10058,0.004677
10059,0.010054
10060,0.012594
10061,0.018
10062,0.036634
10063,0.006841
10064,0.022172
10065,0.012128
10066,0.020297
10067,0.013895
10068,0.019421
10069,0.009503
10070,0.010417
10071,0.011206
10072,0.004536
10073,0.024345
10074,0.016488
10075,0.004241
10076,0.006524
10077,0.006385
10078,0.020227
10079,0.011238
10080,0.008833
10081,0.01983
10082,0.009767
10083,0.003807
10084,0.008563
10085,0.007172
10086,0.003294
10087,0.014085
10088,0.00643
10089,0.004433
10090,0.036855
10091,0.010635
10092,0.005469
10093,0.019909
10094,0.009559
10095,0.010193
10096,0.019751
10097,0.008255
10098,0.004538
10099,0.007885
10100,0.007032
10101,0.022785
10102,0.011099
10103,0.004914
10104,0.006241
10105,0.002312
10106,0.016256
10107,0.004965
10108,0.006416
10109,0.005891
10110,0.007507
10111,0.006442
10112,0.012883
10113,0.016605
10114,0.010911
10115,0.011697
10116,0.004913
10117,0.010541
10118,0.005976
10119,0.002841
10120,0.005434
10121,0.012087
10122,0.003324
10123,0.009534
10124,0.018412
10125,0.006726
10126,0.032436
10127,0.007568
10128,0.021985
10129,0.034031
10130,0.00631
10131,0.002855
10132,0.004096
10133,0.014506
10134,0.014316
10135,0.04082
10136,0.007896
10137,0.004993
10138,0.014661
10139,0.004946
10140,0.003652
10141,0.005078
10142,0.001295
10143,0.007962
10144,0.004786
10145,0.004206
10146,0.006451
10147,0.100041
10148,0.004233
10149,0.025735
10150,0.01265
10151,0.005642
10152,0.006803
10153,0.008407
10154,0.003239
10155,0.014618
10156,0.00545
10157,0.009974
10158,0.014124
10159,0.00398
10160,0.007184
10161,0.016571
10162,0.003596
10163,0.008571
10164,0.016549
10165,0.007164
10166,0.014618
10167,0.007684
10168,0.011139
10169,0.009354
10170,0.026098
10171,0.02866
10172,0.006389
10173,0.007813
10174,0.008197
10175,0.00987
10176,0.002469
10177,0.014057
10178,0.014074
10179,0.056148
10180,0.005209
10181,0.00563
10182,0.014815
10183,0.004704
10184,0.006488
10185,0.008635
10186,0.024474
10187,0.002379
10188,0.004954
10189,0.008999
10190,0.047724
10191,0.008726
10192,0.031303
10193,0.006942
10194,0.019704
10195,0.006063
10196,0.001709
10197,0.005469
10198,0.018682
10199,0.004346
10200,0.002951
10201,0.007699
10202,0.003158
10203,0.004864
10204,0.003665
10205,0.006315
10206,0.014676
10207,0.014423
10208,0.002051
10209,0.005308
10210,0.005577
10211,0.007606
10212,0.008643
10213,0.005909
10214,0.013624
10215,0.006228
10216,0.016013
10217,0.016101
10218,0.004199
10219,0.010688
10220,0.005425
10221,0.00388
10222,0.012846
10223,0.015266
10224,0.025708
10225,0.014844
10226,0.005499
10227,0.004568
10228,0.006171
10229,0.024154
10230,0.003405
10231,0.015611
10232,0.002369
10233,0.013487
10234,0.008794
10235,0.015904
10236,0.015274
10237,0.003724
10238,0.00396
10239,0.039738
10240,0.007962
10241,0.008104
10242,0.004631
10243,0.00674
10244,0.00298
10245,0.008884
10246,0.009899
10247,0.005363
10248,0.024639
10249,0.009318
10250,0.011342
10251,0.014618
10252,0.004821
10253,0.004357
10254,0.004486
10255,0.014618
10256,0.032228
10257,0.002473
10258,0.006622
10259,0.010034
10260,0.019754
10261,0.006099
10262,0.005266
10263,0.005049
10264,0.012912
10265,0.011808
10266,0.010066
10267,0.010946
10268,0.006384
10269,0.003209
10270,0.004975
10271,0.009213
10272,0.006046
10273,0.00428
10274,0.088723
10275,0.008287
10276,0.003919
10277,0.031806
10278,0.00893
10279,0.01053
10280,0.00676
10281,0.003956
10282,0.012132
10283,0.008096
10284,0.003354
10285,0.006881
10286,0.020162
10287,0.010953
10288,0.020556
10289,0.010735
10290,0.005358
10291,0.011088
10292,0.007716
10293,0.007912
10294,0.026778
10295,0.010188
10296,0.003294
10297,0.005726
10298,0.011352
10299,0.007144
10300,0.026098
10301,0.009158
10302,0.019754
10303,0.010543
10304,0.003382
10305,0.042639
10306,0.005531
10307,0.006348
10308,0.00444
10309,0.005244
10310,0.006883
10311,0.030127
10312,0.005977
10313,0.004743
10314,0.007478
10315,0.006918
10316,0.006346
10317,0.013444
10318,0.014789
10319,0.003924
10320,0.007315
10321,0.003081
10322,0.006022
10323,0.008104
10324,0.00434
10325,0.018533
10326,0.019754
10327,0.004303
10328,0.009112
10329,0.007974
10330,0.009517
10331,0.026058
10332,0.010016
10333,0.005332
10334,0.020796
10335,0.002994
10336,0.005369
10337,0.030651
10338,0.009685
10339,0.00682
10340,0.004276
10341,0.012338
10342,0.003988
10343,0.006194
10344,0.025062
10345,0.010901
10346,0.061099
10347,0.015062
10348,0.006867
10349,0.003775
10350,0.016023
10351,0.029342
10352,0.005276
10353,0.006737
10354,0.005871
10355,0.012197
10356,0.017167
10357,0.006374
10358,0.044983
10359,0.003554
10360,0.013123
10361,0.006548
10362,0.007646
10363,0.012083
10364,0.007073
10365,0.002699
10366,0.011062
10367,0.009338
10368,0.010656
10369,0.003098
10370,0.007931
10371,0.006649
10372,0.006663
10373,0.013741
10374,0.009804
10375,0.009195
10376,0.004777
10377,0.005376
10378,0.005376
10379,0.004566
10380,0.026098
10381,0.005733
10382,0.008343
10383,0.005034
10384,0.010435
10385,0.007049
10386,0.013644
10387,0.012293
10388,0.032056
10389,0.006831
10390,0.005265
10391,0.003865
10392,0.006608
10393,0.008516
10394,0.005851
10395,0.026807
10396,0.004027
10397,0.03283
10398,0.009495
10399,0.012899
10400,0.014637
10401,0.021416
10402,0.005724
10403,0.01907
10404,0.007666
10405,0.01289
10406,0.008902
10407,0.010372
10408,0.014124
10409,0.018835
10410,0.005952
10411,0.004863
10412,0.020268
10413,0.010182
10414,0.022023
10415,0.011144
10416,0.008189
10417,0.014618
10418,0.005266
10419,0.00735
10420,0.008884
10421,0.005153
10422,0.004012
10423,0.010644
10424,0.004632
10425,0.01788
10426,0.003049
10427,0.005027
10428,0.015048
10429,0.009946
10430,0.007793
10431,0.009273
10432,0.005007
10433,0.005541
10434,0.006201
10435,0.011456
10436,0.007108
10437,0.001362
10438,0.00449
10439,0.008949
10440,0.029732
10441,0.003991
10442,0.054096
10443,0.003744
10444,0.007755
10445,0.055157
10446,0.015789
10447,0.005217
10448,0.010487
10449,0.010456
10450,0.011913
10451,0.0046
10452,0.024058
10453,0.004171
10454,0.008382
10455,0.007774
10456,0.019348
10457,0.019754
10458,0.005715
10459,0.014675
10460,0.019754
10461,0.005331
10462,0.007441
10463,0.004157
10464,0.012345
10465,0.003033
10466,0.029635
10467,0.004459
10468,0.007126
10469,0.003825
10470,0.008219
10471,0.002684
10472,0.010726
10473,0.013852
10474,0.010005
10475,0.008662
10476,0.012419
10477,0.006085
10478,0.015218
10479,0.030535
10480,0.079241
10481,0.010358
10482,0.005557
10483,0.019295
10484,0.006262
10485,0.016622
10486,0.012317
10487,0.006244
10488,0.012047
10489,0.01499
10490,0.055402
10491,0.02557
10492,0.004902
10493,0.003786
10494,0.008082
10495,0.046211
10496,0.025685
10497,0.016087
10498,0.014749
10499,0.013941
10500,0.005671
10501,0.009027
10502,0.006426
10503,0.010468
10504,0.009937
10505,0.006143
10506,0.003426
10507,0.005698
10508,0.006297
10509,0.046173
10510,0.001027
10511,0.040131
10512,0.040218
10513,0.005023
10514,0.015275
10515,0.006181
10516,0.019754
10517,0.010759
10518,0.011854
10519,0.005114
10520,0.012318
10521,0.013037
10522,0.036555
10523,0.004967
10524,0.006588
10525,0.006895
10526,0.006148
10527,0.014892
10528,0.019754
10529,0.008405
10530,0.028614
10531,0.00496
10532,0.007309
10533,0.006961
10534,0.005027
10535,0.019754
10536,0.005603
10537,0.004093
10538,0.005438
10539,0.003616
10540,0.006467
10541,0.032146
10542,0.005278
10543,0.004594
10544,0.084714
10545,0.004773
10546,0.007005
10547,0.014618
10548,0.005085
10549,0.003383
10550,0.003772
10551,0.003399
10552,0.006422
10553,0.035375
10554,0.023703
10555,0.004871
10556,0.009792
10557,0.007806
10558,0.007813
10559,0.002504
10560,0.005859
10561,0.003526
10562,0.013644
10563,0.004673
10564,0.00419
10565,0.006472
10566,0.007592
10567,0.005362
10568,0.002784
10569,0.009814
10570,0.100512
10571,0.004456
10572,0.006979
10573,0.014116
10574,0.009247
10575,0.036216
10576,0.00821
10577,0.007891
10578,0.011581
10579,0.002146
10580,0.022533
10581,0.021499
10582,0.008851
10583,0.004463
10584,0.008638
10585,0.009362
10586,0.008645
10587,0.031045
10588,0.00734
10589,0.008774
10590,0.01628
10591,0.00351
10592,0.013779
10593,0.006189
10594,0.005881
10595,0.008444
10596,0.019754
10597,0.007332
10598,0.020514
10599,0.011897
10600,0.004098
10601,0.023109
10602,0.010054
10603,0.011412
10604,0.006264
10605,0.004775
10606,0.009712
10607,0.004478
10608,0.002567
10609,0.010818
10610,0.006935
10611,0.002067
10612,0.010676
10613,0.008886
10614,0.004647
10615,0.009004
10616,0.013175
10617,0.0153
10618,0.002618
10619,0.004656
10620,0.008935
10621,0.002263
10622,0.005572
10623,0.035855
10624,0.004709
10625,0.011242
10626,0.008978
10627,0.007666
10628,0.008205
10629,0.026288
10630,0.0161
10631,0.007115
10632,0.005985
10633,0.003496
10634,0.017856
10635,0.0082
10636,0.018772
10637,0.004803
10638,0.008343
10639,0.005027
10640,0.003891
10641,0.016208
10642,0.014618
10643,0.023023
10644,0.026833
10645,0.034968
10646,0.009827
10647,0.014236
10648,0.008332
10649,0.003725
10650,0.004514
10651,0.007504
10652,0.024453
10653,0.010681
10654,0.007107
10655,0.00646
10656,0.008444
10657,0.008613
10658,0.007198
10659,0.01105
10660,0.003194
10661,0.003054
10662,0.018207
10663,0.02864
10664,0.003993
10665,0.014618
10666,0.005059
10667,0.009113
10668,0.010324
10669,0.021694
10670,0.007404
10671,0.001935
10672,0.005749
10673,0.021665
10674,0.011728
10675,0.009482
10676,0.005036
10677,0.004016
10678,0.019754
10679,0.007421
10680,0.00995
10681,0.006635
10682,0.036225
10683,0.020804
10684,0.010289
10685,0.006087
10686,0.006748
10687,0.006423
10688,0.01679
10689,0.006755
10690,0.005054
10691,0.010709
10692,0.004802
10693,0.005468
10694,0.006067
10695,0.043653
10696,0.009256
10697,0.006989
10698,0.00128
10699,0.008658
10700,0.018434
10701,0.012666
10702,0.015984
10703,0.010824
10704,0.010658
10705,0.006374
10706,0.025181
10707,0.006164
10708,0.003446
10709,0.014997
10710,0.017111
10711,0.017885
10712,0.025833
10713,0.019525
10714,0.005301
10715,0.004032
10716,0.046298
10717,0.0199
10718,0.02203
10719,0.001876
10720,0.005532
10721,0.004264
10722,0.019754
10723,0.005685
10724,0.015898
10725,0.003922
10726,0.026098
10727,0.003985
10728,0.022459
10729,0.007772
10730,0.010514
10731,0.005398
10732,0.005391
10733,0.021132
10734,0.014618
10735,0.008784
10736,0.0162
10737,0.009635
10738,0.008003
10739,0.005338
10740,0.004178
10741,0.010821
10742,0.111012
10743,0.006019
10744,0.005984
10745,0.008593
10746,0.008459
10747,0.01244
10748,0.015637
10749,0.004875
10750,0.004326
10751,0.014618
10752,0.010697
10753,0.007703
10754,0.003129
10755,0.029174
10756,0.010853
10757,0.017667
10758,0.015287
10759,0.007113
10760,0.006053
10761,0.003344
10762,0.009026
10763,0.005816
10764,0.006057
10765,0.007676
10766,0.003837
10767,0.043897
10768,0.011594
10769,0.031232
10770,0.019754
10771,0.005682
10772,0.051523
10773,0.005227
10774,0.011912
10775,0.003898
10776,0.004264
10777,0.005411
10778,0.036326
10779,0.003853
10780,0.023307
10781,0.005711
10782,0.002752
10783,0.012518
10784,0.004817
10785,0.013882
10786,0.006569
10787,0.00644
10788,0.030261
10789,0.065586
10790,0.024616
10791,0.007801
10792,0.014875
10793,0.011807
10794,0.004203
10795,0.081697
10796,0.004565
10797,0.023234
10798,0.001293
10799,0.00555
10800,0.011136
10801,0.003357
10802,0.021452
10803,0.00691
10804,0.012391
10805,0.013367
10806,0.058081
10807,0.004904
10808,0.013427
10809,0.020858
10810,0.009849
10811,0.03177
10812,0.004273
10813,0.004802
10814,0.019074
10815,0.003885
10816,0.020307
10817,0.015576
10818,0.006477
10819,0.0047
10820,0.029921
10821,0.003284
10822,0.009002
10823,0.009183
10824,0.006758
10825,0.007463
10826,0.02733
10827,0.009779
10828,0.005847
10829,0.002864
10830,0.016763
10831,0.024506
10832,0.011549
10833,0.032502
10834,0.0229
10835,0.006461
10836,0.013145
10837,0.006474
10838,0.005668
10839,0.003026
10840,0.005116
10841,0.012287
10842,0.00839
10843,0.003758
10844,0.008656
10845,0.007969
10846,0.013385
10847,0.011464
10848,0.003061
10849,0.008683
10850,0.004815
10851,0.006429
10852,0.004947
10853,0.012187
10854,0.017743
10855,0.011674
10856,0.01639
10857,0.007169
10858,0.007805
10859,0.019754
10860,0.013892
10861,0.006751
10862,0.006083
10863,0.015336
10864,0.003954
10865,0.005985
10866,0.019465
10867,0.003148
10868,0.018603
10869,0.006336
10870,0.017401
10871,0.005329
10872,0.024165
10873,0.026925
10874,0.00278
10875,0.00824
10876,0.0037
10877,0.007404
10878,0.002288
10879,0.008051
10880,0.005187
10881,0.009602
10882,0.031032
10883,0.004968
10884,0.092613
10885,0.0066
10886,0.004932
10887,0.003339
10888,0.005649
10889,0.013373
10890,0.003694
10891,0.008235
10892,0.017814
10893,0.004127
10894,0.006981
10895,0.003592
10896,0.005938
10897,0.005573
10898,0.014546
10899,0.015692
10900,0.011111
10901,0.004703
10902,0.00723
10903,0.014618
10904,0.007569
10905,0.011714
10906,0.00582
10907,0.031873
10908,0.001321
10909,0.014124
10910,0.00629
10911,0.013694
10912,0.009516
10913,0.004721
10914,0.007497
10915,0.004499
10916,0.023809
10917,0.012492
10918,0.007371
10919,0.032441
10920,0.003363
10921,0.01091
10922,0.016562
10923,0.018234
10924,0.03627
10925,0.007591
10926,0.019754
10927,0.003882
10928,0.010241
10929,0.023776
10930,0.027635
10931,0.011867
10932,0.009436
10933,0.027254
10934,0.006794
10935,0.023255
10936,0.019754
10937,0.002999
10938,0.007845
10939,0.025982
10940,0.06867
10941,0.007889
10942,0.005347
10943,0.004635
10944,0.01668
10945,0.004228
10946,0.017991
10947,0.003603
10948,0.01391
10949,0.005149
10950,0.006219
